category,level,stamina,smarts,charm,pride,morals,highclass,sensitive,temper,fame,martial,magic,trust,crime,demonization,stress,money,money_growth,type
theory,0,-0.5,1.5,-0.1,0,1,0,-1,0,0,0,0,0,0,0,1,-10,0,LESSON
theory,1,-0.5,2.5,-0.2,0,1.8,0,-1,2,0,0,0,0,0,0,1.5,-15,0,LESSON
theory,2,-0.5,2,-0.3,1.5,1,0,-1,0,0,0,0,0,0,0,2,-30,0,LESSON
theory,3,-0.5,1.5,-0.2,1,0.5,0,-1,0,0,0,0,0,0,0,2,10,0,LESSON
martialArts,0,1.5,-0.2,-0.1,0,0,-0.3,-0.2,0,0,1,0,0,0,0,1.25,-10,0,LESSON
martialArts,1,1.5,-0.2,-0.2,0,0,-0.1,-0.1,0,0,2.2,0,0,0,0,2,-15,0,LESSON
martialArts,2,1.5,-0.2,-0.2,0.5,0,0.1,-0.3,0,0,2.5,0,0,0,0,2.5,-30,0,LESSON
martialArts,3,1.5,0,-0.2,1,0,0.1,-0.3,0,0,2,0,0,0,0,2.25,10,0,LESSON
magic,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-10,0,LESSON
magic,1,1,1.5,0,0,0,-0.1,-0.1,0,0,0,2,0,0,0,2,-15,0,LESSON
magic,2,0,1.5,0,1,-0.5,0,0,0,0,0,2.5,0,0.75,0,2,-30,0,LESSON
magic,3,0,1.25,0,0.5,-0.5,0,0,0,0,0,2,0,1,0,1.75,10,0,LESSON
etiquette,0,-0.1,0,0.3,0.5,1,1.2,-0.2,1,0,0,0,0,0,0,1,-10,0,LESSON
etiquette,1,-0.25,0,0.4,1.5,2,1.5,-0.1,1,0,0,0,0,-1,0,1.5,-15,0,LESSON
etiquette,2,-0.5,0,0.5,2,1.5,2.5,-0.5,1,0,0,0,0,-1,0,2,-30,0,LESSON
etiquette,3,0,0,0.3,1.5,0.5,2,-0.1,2,0,0,0,0,-0.5,0,2,10,0,LESSON
art,0,-0.3,0,0,0,0,-0.1,2.1,0,0,0,0,0,0,0,1,-10,0,LESSON
art,1,-0.3,1,0,0,-0.5,-0.2,2,0,0,0,0,0,0,0,1.5,-15,0,LESSON
art,2,-0.3,1.5,0,0,-0.5,-0.3,2.5,0,0,0,0,0,0,0,2,-30,0,LESSON
art,3,-0.3,1.5,0,0,0,-0.2,2,0,0,0,0,0,0,0,2,10,0,LESSON
dance,0,0.5,-0.5,1.5,0,0,1,0.5,0,0,0,0,0,0,0,1.25,-10,0,LESSON
dance,1,0.75,-0.5,2,1,0,1.5,1,0,0,0,0,0,0,0,1.75,-15,0,LESSON
dance,2,1,-0.5,2.5,1.5,0,2,1.5,0,0,0,0,0,0,0,2.5,-30,0,LESSON
dance,3,0.5,-0.5,1,1,0,1.5,1,0,0,0,0,0,0,0,2.5,10,0,LESSON
housework,0,0.5,0,0,0,0.4,0,0.15,0,0,0,0,0.875,0,0,0.75,0,0,WORK
nanny,0,0.7,0,-0.25,0,-0.1,0,-0.25,0,0,0,0,0.875,0,0,1.2,8,2,WORK
farm,0,1,-0.1,-0.4,0,0,0,-0.25,0,0,0,0,0,0,0,2.5,14,4,WORK
church,0,0,-0.5,-0.65,0.625,1,0,-0.1,0,0,0,0,0,0,0,0.75,1,1,WORK
restaurant,0,0,-0.1,-0.35,0.5,0,0,-0.1,0,0,0,0,0.3,0,-0.3,2.5,20,5,WORK
maid,0,0,0,0.5,0,0.75,0.6,0,0,0,0,0,0,0,0,2.5,18,5,WORK
inn,0,0.7,-0.1,-0.4,0,0.25,0,-0.25,0,0,0,0,0.25,0,0,2.25,10,3,WORK
logging,0,2,-0.15,-0.35,0.05,0,0,-0.25,0,0,0,0,0,0,0,4.5,25,6,WORK
market,0,0,0.5,0,0,0,0,-0.1,0,0,0,0,0.5,0,0,2,20,5,WORK
hotel,0,0,-0.15,0.75,0,0,-0.25,0,-0.05,0,0,0,0.25,0,0,2.75,9,3,WORK
tutor,0,-0.7,0.6,0,0,0,0.25,-0.4,0,0,0,0,0,0,0,2.5,25,6,WORK
maidHotel,0,-0.15,-0.45,1.5,-0.875,0,-1.1,0,0.35,0,0,0,0,0,0.5,4.5,33,8,WORK
strangeHotel,0,0,-0.5,2.5,-1.1,0,-1.1,0,-0.25,0,0,0,0.2,0,2,6.25,45,11,WORK
casino,0,0,0.6,1.35,-0.75,0,-0.5,0,-0.1,0,0,0,0,0,1,5.25,40,10,WORK
rest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REST
vacation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REST
outing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REST
recover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REST
